feature,coeficiente
meanfun,-4.759197487371812
sfm,-1.590248755716984
sp.ent,1.4180477566699066
IQR,1.2895602699275381
Q25,-0.8372302127762202
Q75,0.6135585348634638
minfun,0.5331883303686463
modindx,-0.37937744901396964
kurt,-0.33521910895816437
sd,0.23371495235976197
skew,-0.20977149981695586
meandom,0.14699591455324615
mode,0.1251174384724159
meanfreq,-0.10090075093623323
centroid,-0.10090075093623323
mindom,-0.058978604078718425
median,-0.04320109355875193
maxfun,-0.03493089388262181
maxdom,-0.0010150747629999702
dfrange,2.712713404092208e-05
